ID,Host,Isolate
DQ066597,,VA/SEP-A17/03
DQ066596,,VA/SEP-A8/03
DQ066595,,TX/SEP-A313/04
DQ066594,,TX/SEP-A312/04
DQ066593,,TX/SEP-A311/04
DQ066592,,TX/SEP-A310/04
DQ066591,,NC/SEP-A305/04
DQ066590,,NC/SEP-A255/04
DQ066589,,NC/SEP-A254/04
DQ066588,,NC/SEP-A253/04
DQ066587,,NC/SEP-A252/04
DQ066586,,NC/SEP-A226/03
DQ066585,,NC/SEP-A224/03
DQ066584,,NC/SEP-A222/03
DQ066583,,NC/SEP-A65/03
DQ066582,,NC/SEP-A61/03
DQ066581,,NC/SEP-A44/03
DQ066580,,NC/SEP-A41/03
DQ066579,,NC/SEP-A40/03
DQ066578,,CA/SEP-A273/04
DQ066577,,CA/SEP-A270/04
DQ066576,,CA/SEP-A269/04
DQ066575,,VA/SEP-A33/03
DQ066574,,VA/SEP-A17/03
DQ066573,,VA/SEP-A8/03
DQ066572,,TX/SEP-A313/04
DQ066571,,TX/SEP-A312/04
DQ066570,,TX/SEP-A311/04
DQ066569,,TX/SEP-A310/04
DQ066568,,NC/SEP-A305/04
DQ066567,,NC/SEP-A255/04
DQ066566,,NC/SEP-A254/04
DQ066565,,NC/SEP-A253/04
DQ066564,,NC/SEP-A252/04
DQ066563,,NC/SEP-A226/03
DQ066562,,NC/SEP-A224/03
DQ066561,,NC/SEP-A222/03
DQ066560,,NC/SEP-A65/03
DQ066559,,NC/SEP-A61/03
DQ066558,,NC/SEP-A44/03
DQ066557,,NC/SEP-A41/03
DQ066556,,NC/SEP-A40/03
DQ066555,,CA/SEP-A273/04
DQ066554,,CA/SEP-A270/04
DQ066553,,CA/SEP-A269/04
DQ070852,,Goiania/GO/12/95/Brazil
DQ028633,,Goiania/GO/12/94/Brazil
AY962551,,12-21
AY962550,,10-92
AY962549,,9-205
AY962548,,9-165
AY962547,,9-110
AY962546,,8-160
AY962545,,6-224
AY962544,,6-213
AY962543,,6-38
AY962542,,5-158
AY962541,,5-53
AY962540,,5-23
AY720892,,
AY720891,,
AY846639,,1166
AY846638,,1165
AY846637,,1158
AY846636,,1157
AY846635,,929
AY590262,,201-3
AY590261,,121-3
AY522552,,
AY522551,,
AY304470,,
AY304469,,
AY304468,,
AY304467,,
AY304466,,
AY304465,,
AY304464,,
AY304462,,
AY304463,,
AY304461,,
AY304460,,
AY304459,,
AY304458,,
AY304457,,
AY304456,,
AY304455,,
AY304454,,
AY304453,,
AY304451,,
AY188208,,
AY188207,,
AY188206,,
AY188205,,
AY188204,,
AY188203,,
AY188202,,
AY188201,,
AY188200,,
AY188199,,
AY188198,,
AY188197,,
AY188196,,
AY188195,,
AY188194,,
AY188193,,
AY188192,,
AY188191,,
AY188190,,
AY188189,,
AY188188,,
AY188187,,
AY188186,,
AY188185,,
AY188184,,
AY188183,,
AY196105,,4589
AY196104,,4540
AY196103,,4539
AY196102,,4265
AY196101,,4220
AY196100,,4074
AY196099,,4072
AY196098,,4071
AY196097,,4070
AY196096,,3914
AY196095,,3911
AF395738,,HUN214/99
AF395737,,HUN4329/96
AF395736,,HUN946/98
AF395735,,HUN1516/98
AF395734,,HUN222/98
AF395733,,HUN173/99
AY094092,,
AY094091,,
AY094090,,
AY094089,,
AY094088,,
AY094087,,
AY094086,,
AY094085,,
AY094084,,
AY094083,,
AY094082,,
AY094081,,
AY094080,,
AY094079,,
AY093655,,
AY093654,,
AY093653,,
AY093652,,
AY093651,,
AY093650,,
AY093649,,
AF361036,,
AF361035,,
AF361034,,
AF361033,,
AF361032,,
AF361031,,
AF361030,,
AF361029,,
AF361028,,
AF260508,,
AF211965,,
AF211964,,
AF211963,,
AF211962,,
AF211961,,
AF211960,,
AF211959,,
AF211958,,
AF211957,,
AF211956,,
AF211955,,
AF211954,,
AF211953,,
AF211952,,
AF216861,,
AF175261,,Melb8A
AF175260,,Melb2A
AF175259,,Melb4C
AF175258,,Melb1J
AF175257,,Melb1I
AF175256,,Melb1H
AF175255,,Melb1G
AF175254,,Melb1F
AF175253,,Melb1E
AF141381,,
S68561,,A88/2
JN799271,,HAstV-1/RJ-645/2010-BRA
JN799270,,HAstV-1/RJ-619/2010-BRA
JN799269,,HAstV-1/RJ-550/2009-BRA
JN799268,,HAstV-1/RJ-544/2009-BRA
JN799267,,HAstV-1/RJ-524/2009-BRA
JN799266,,HAstV-1/RJ-497/2009-BRA
HQ623148,,ofSH15
HQ623147,,toSH8
HQ623146,,SH22
HQ623145,,SH21
HQ623144,,SH20
HQ623143,,SH19
HQ623142,,SH18
HQ623141,,SH17
HQ623140,,SH16
HQ623139,,SH15
HQ623138,,SH14
HQ623137,,SH13
HQ623136,,SH12
HQ623135,,SH11
HQ623134,,SH10
HQ623133,,SH9
HQ623132,,SH8
HQ623131,,SH7
HQ623130,,SH6
HQ623129,,SH5
HQ623128,,SH4
HQ623127,,SH3
HQ623126,,SH2
HQ623125,,SH1
HM209124,,C2-200109
HM209123,,C1-200109
HM209122,,C1-261208
HM209121,,C1-031108
HM209120,,C2-031108
HM209119,,R2U-171008
HM209118,,C1-171008
HM209117,,C1-271206-2
HM209116,,C1-271206-1
HM209115,,E-110407
HM209114,,E-140307-1
HM209113,,E-140307-2
HM209112,,R2U-271206
HM209111,,R2D-271206
HM209110,,R3D-251006
HM209109,,R3U-251006
HM209108,,R2U-111206
HM209107,,R2D-111206
HM209106,,C1-111206
HM209105,,R1U-111206
HM209104,,R1D-111206
HM209103,,R2U-201106
HM209102,,R2D-201106
HM209101,,C1-201106
HM209100,,R1U-201106
HM209099,,R1D-201106
HM209098,,R2D-011106
HM209097,,R2U-011106
HM209096,,C1-011106
HM209095,,R2U-031006
HM209094,,R2D-031006
HM209093,,R1U-031006
HM209092,,R1D-031006
HM209091,,R2U-150806
HM209090,,C1-150806
HM209089,,C1-240706
HM209088,,C1-040706
HM209087,,C1-220606
HM237363,,Katano
AY320043,,
AY320042,,
AY324868,,
AY324867,,
AY324866,,
AY324865,,
AY324864,,
AY324863,,
AY324862,,
AY324861,,
AY324860,,
AY324859,,
AY324858,,
AY324857,,
AY324856,,
AY324855,,
AY324854,,
AY179509,,
ATVPOLY6A,,Oxford
FJ476309,,VF08-05/13
FJ476308,,VF08-07/1
FJ476307,,VF08-05/5
FJ476306,,VF07-13/5
FJ476305,,VF07-04/2
FJ476304,,VF07-04/1
FJ476303,,VF06-07/8
FJ476302,,VF06-07/6
FJ476301,,VF06-01/4
FJ476300,,VF06-01/3
FJ476299,,06V0062
FJ476298,,VF05-01/16
FJ476297,,VF04-01/11
FJ476296,,VF04-01/2
FJ476295,,P22-08.8.00
FJ476294,,612
FJ476293,,FP3
FJ476292,,11522
FJ476291,,1009
FJ829070,,Rus-Nsc07-2443
FJ402983,,
FJ227127,,WD0227
FJ227126,,WD0104
FJ227125,,WD0055
FJ227124,,WD0016
FJ227121,,WD0055
FJ227120,,WD0016
AF474921,,MdGER937
AF474920,,MdGER936
AF474919,,MdGER921
AF474918,,MdGER908
AF474917,,MdGER86
AF474916,,MdGER786
AF474915,,MdGER72
AF474914,,MdGER720
AF474913,,MdGER706
AF474912,,MdGER690
AF474911,,MdGER625
AF474910,,MdGER623
AF474909,,MdGER418
AF474908,,MdGER262
AF474907,,MdGER261
AF474906,,MdGER260
AF474905,,MdGER251
AF474904,,MdGER23
AF474903,,MdGER20
AF474902,,MdGER198
AF474901,,MdGER164
AF474900,,MdGER14
EF195478,,McDonaugh
EF195477,,99-00916
EF195476,,CM1233
EF195475,,JPK23
EF195474,,CSX349
EF195473,,DG637
EF195472,,PE1E6
EF195471,,DL497
EF195470,,DL15320
EF195469,,99-00923
EF195468,,99-00662
EF195467,,99-01576
EF195466,,99-01355
EF195465,,99-00747
EF195464,,99-00487
EF195463,,99-00131
EF195462,,CSX298
EF195461,,PD910848
EF195460,,99-01231
EF195459,,DG651
EF195458,,DL14572
EF195457,,99-03412
EF195456,,99-00691
EF195455,,P23795
EF195454,,prototype strain HAstV-7
EF195453,,prototype strain HAstV-6
EF195452,,prototype strain HAstV-5
EF195451,,prototype strain HAstV-4
EF195450,,prototype strain HAstV-3
EF195449,,F8.7-S99
EF195448,,F8.5-T5
EF195447,,F8.1-S124
EF195446,,F4.3-S124
EF195445,,F2.2-S144
EF195444,,F1.4-S13
EF195443,,UK1.12-96/v56665
EF195442,,UK1.11-96/v57034
EF195441,,UK1.9-94/v42078
EF195440,,UK1.7-93/v31457
EF195439,,UK1.5-82-1010
EF195438,,UK1.2-DaleyC
EF195437,,UK1.1-90v10003
EF195436,,2172
EF195435,,BcnB.6
EF195434,,BcnB.5
EF195433,,BcnB.4
EF195432,,BcnB.3
EF195431,,BcnB.2
EF195430,,BcnB.1
EF195429,,Bcn8.6
EF195428,,Bcn8.5
EF195427,,Bcn8.4
EF195426,,Bcn8.3
EF195425,,Bcn8.2
EF195424,,Bcn8.1
EF195423,,Bcn4.13
EF195422,,Bcn4.12
EF195421,,Bcn4.11
EF195420,,Bcn4.10
EF195419,,Bcn4.9
EF195418,,Bcn4.7
EF195417,,Bcn4.6
EF195416,,Bcn4.5
EF195415,,Bcn4.4
EF195414,,Bcn4.3
EF195413,,Bcn4.2
EF195412,,Bcn4.1
EF195411,,Bcn3.9
EF195410,,Bcn3.8
EF195409,,Bcn3.7
EF195408,,Bcn3.6
EF195407,,Bcn3.5
EF195406,,Bcn3.4
EF195405,,Bcn3.3
EF195404,,Bcn3.2
EF195403,,Bcn3.1
EF195402,,Bcn2.3
EF195401,,Bcn2.2
EF195400,,Bcn2.1
EF195399,,Bcn1.18
EF195398,,Bcn1.17
EF195397,,Bcn1.16
EF195396,,Bcn1.15
EF195395,,Bcn1.14
EF195394,,Bcn1.13
EF195393,,Bcn1.12
EF195392,,Bcn1.11
EF195391,,Bcn1.10
EF195390,,Bcn1.9
EF195389,,Bcn1.7
EF195388,,Bcn1.5
EF195387,,Bcn1.4
EF195386,,Bcn1.3
EF195385,,Bcn1.1
EF490428,,Madagascar/DR0038/2004
EF490427,,Madagascar/DR0034/2004
EF490426,,Madagascar/DR0075/2004
EF490425,,Madagascar/DG6013/2004
EF519313,,EP06
EF519312,,DR0038
AF290509,,
AF290508,,
AF290507,,
AF290506,,
AF290505,,
AF290504,,
AF292079,,
AF248738,,
AY027809,,
AF257229,,M270
AF257228,,M367
AF257227,,M234
AF257225,,M226
AF257224,,M370
AF257223,,M352
AF257222,,M321
AF257221,,M412
DQ990461,,PA-NSC087-BR
DQ990460,,PA-NSC087-BR
EF100670,,AM17/Bra/2004
DQ788612,,WH2009
DQ788611,,WH2051
DQ788610,,WH2109
DQ788609,,WH2447
DQ788608,,WH2255
DQ788607,,WH2137
DQ788606,,WH2128
DQ788605,,WH2119
DQ788604,,WH2112
DQ788603,,WH2096
DQ788602,,WH1787
DQ788601,,WH2412
DQ788600,,WH2370
DQ788599,,WH2151
DQ788598,,WH2116
DQ788597,,WH2093
DQ788596,,WH2012
DQ788595,,WH2003
DQ788594,,WH1847
DQ788593,,WH2209
DQ788592,,WH2158
DQ788591,,WH2131
DQ788590,,WH2102
DQ659100,,KUMA 05-123
DQ381361,,6363/3/03
AY007590,,BER/4/99/DEU
AY007589,,NEU/3.1/98/DEU
AY007587,,HEI/2.1/99/DEU
AY007586,,NEU/3.2/98/DEU
AY007584,,HEI/2.2/99/DEU
AY007583,,SWE/3.2/98/DEU
AY007582,,SWE/3.1/98/DEU
AY007581,,ROS/3.2/98/DEU
AY007580,,PIR/4/98/DEU
AY007579,,ORA/1/98/DEU
AY007578,,HEI/2.3/99/DEU
AY007591,,KOB/4/99/DEU
AY007588,,STU/3/99/DEU
AY007585,,BER/3/98/DEU
AY007577,,BLZ/12/97/DEU
AF056197,,Bristol
LC009661,,HAstV2008Feb
LC009660,,HAstV2008Feb
LC009659,,HAstV2008Feb
LC009658,,HAstV2008Mar
LC009657,,HAstV2008Jan
LC009656,,HAstV2008Feb
LC009655,,HAstV2007Dec
LC009654,,HAstV2007Dec
LC009653,,HAstV2007Oct
LC009652,,HAstV2008Feb
LC009651,,HAstV2008Mar
LC009650,,HAstV2007Dec
LC009649,,HAstV2008Mar
LC009648,,HAstV2007NoV
LC009647,,HAstV2007Dec
LC009646,,HAstV2008Mar
LC009645,,HAstV2008Jan
LC009644,,HAstV2008Feb
LC009643,,HAstV2008Feb
LC009642,,HAstV2008Jan
LC009641,,HAstV2007NoV
LC009640,,HAstV2007Dec
LC009639,,HAstV2007Dec
LC009638,,HAstV2007NoV
LC009637,,HAstV2007Dec
LC009636,,HAstV2008Jan
KM401565,,
KR007588,,A154-TT-02/2013/URY
KR007587,,A142-TT-10/2012/URY
KR007586,,A88-TT-11/2011/URY
KR007585,,A70-TT-09/2011/URY
KC294577,,20243
KC294576,,19560
LC009678,,VAAstV2008Mar
LC009677,,MLBAstV2008Mar
LC009676,,MLBAstV2008Jan
LC009675,,MLBAstV2008Feb
LC009674,,MLBAstV2007Dec
LC009673,,MLBAstV2008Feb
LC009672,,MLBAstV2008Feb
LC009671,,MLBAstV2008Mar
LC009670,,MLBAstV2008Feb
LC009669,,MLBAstV2007NoV
LC009668,,MLBAstV2008Feb
LC009667,,MLBAstV2008Feb
LC009666,,MLBAstV2007NoV
LC009665,,MLBAstV2007NoV
LC009664,,HAstV2007NoV
LC009663,,HAstV2007Oct
LC009662,,HAstV2008Mar
LC009684,,VAAstV2007Oct
LC009683,,VAAstV2007Oct
LC009682,,VAAstV2008Jan
LC009681,,VAAstV2007Oct
LC009680,,VAAstV2008Jan
LC009679,,VAAstV2008Jan
KP636526,,HAstVTUN7
KP636525,,HAstVTUN6
KP636524,,HAstVTUN5
KP636523,,HAstVTUN4
KP636522,,HAstVTUN3
KP636521,,HAstVTUN2
KP636520,,HAstVTUN1
S47249,,
JA816489,,
JA816485,,
KP258663,,HYD79
KP258662,,HYD74
KP258661,,HYD72
KP258660,,HYD70
KP404152,,
KP404151,,
KP404150,,
KP404149,,
KJ650566,,PAst-NER
KJ650565,,PAst-NER
KJ650564,,PAst-NER
KJ650563,,PAst-NER
KJ650562,,PAst-NER
KJ650561,,PAsT-NER-7P
KJ173710,,
KJ173709,,
KJ173708,,
KJ173707,,
KJ173706,,
KJ173705,,
KJ173704,,
KM875548,,2014/TAstV/BL.1
KJ920197,,HMO-CLondon2
KJ920196,,HMO-CLondon1
AB856999,,F13
AB856998,,F12
AB856997,,F11
AB856996,,F10
AB856995,,F9
AB856994,,F8
AB856993,,F7
AB856992,,F5
AB856991,,F4
AB856990,,F3
AB856989,,F2
AB856988,,F1
KM358468,,
KF039913,,Rus-Nsc10-N358
KF039912,,Rus-Nsc05-623
KF039911,,Rus-Nsc06-1029
KF039910,,Rus-Nsc05-430
KF753807,,
KF753806,,
KF753805,,
KF753804,,
KF854592,,AO03-04
KF854591,,FS04-03
KF854590,,AO07-02
KF854589,,AO04-03
KF854588,,AO05-01
KF854587,,LW04-03
KF854586,,FS07-02
KF854585,,FS04-04
KF854584,,AO06-02
KF854583,,AO05-02
KF854582,,FS06-02
KF854581,,FS05-01
KF854580,,FS05-02
KF854579,,LW05-01
KF854578,,FS03-04
AB607963,,IDH 2455
AB607962,,IDH 2392
AB607961,,IDH1451
AB607960,,IDH 198
AB616688,,IDH 2455
AB616687,,IDH 1482
AB616686,,IDH 1451
AB616685,,IDH 1309
AB551388,,MASTRO2310
AB551387,,MASTRO2211
AB551386,,MASTRO1482
AB551385,,MASTRO1448
AB551384,,MASTRO1387
AB551383,,MASTRO1371
AB551382,,MASTRO1309
AB551381,,MASTRO1300
AB551380,,MASTRO2392
AB551379,,MASTRO2310
AB551378,,MASTRO2211
AB551377,,MASTRO1448
AB551376,,MASTRO1387
AB551375,,IDH2455
AB551374,,IDH2392
AB551373,,IDH1482
AB551372,,IDH1387
AB551371,,IDH198
AB540662,,IDH1300
AB518708,,MASTRO1371
AB518707,,MASTRO1300
AB518706,,MASTRO1300
AB518705,,MASTRO1300
AB518704,,MASTRO1300
AB518703,,MASTRO1300
AB518702,,MASTRO1300
AB518701,,MASTRO1300
AB518700,,MASTRO1300
AB518699,,MASTRO1300
AB518698,,MASTRO1300
AB325804,,V1182
AB308374,,V1347
AB303403,,V1182
AB303402,,V1182
AB303401,,V1182
AB303400,,V1182
AB303399,,V1182
AB303398,,V1182
AB303397,,V1182
AB303396,,V1182
AB303395,,V1182
AB303394,,V1182
AB299405,,V1347
AB299404,,V1347
AB299403,,V1347
AB299402,,V1347
AB299401,,V1347
AB299400,,V1347
AB299399,,V1347
AB299398,,V1347
AB299397,,V1347
AB299396,,V1347
AB290149,,V1347
AB327186,,NK4128
AB265678,,V1347
AB264140,,V1347
AB264139,,V1347
AB265679,,
AB264146,,NK4272
AB264145,,NK4127
AB264144,,V1347
AB264143,,V1347
AB264142,,V1347
AB264141,,V1347
AB243067,,V1347/2004
AB242160,,India/NK4184/2005
AB242159,,India/V959/2003
AB242158,,India/V913/2002
AB241067,,NK4169
AB241066,,NK4121
AB241065,,NK4127
AB241064,,NK4128
AB037272,,"83-74, Tokushima, Japan"
AB031031,,
AB031030,,
AB013618,,
JX985720,,MPJ1569
JX985716,,MPJ14456
JX985712,,MPJ14156
JX985706,,MPJ13512
JX985703,,MPJ13478
JX985699,,MPJ13178
JX985698,,MPJ13134
JX985696,,MPJ13034
JX985695,,MPJ13012
JX985692,,MPJ10027
JX985691,,MPJ09338
JX985687,,MPJ07559
JX985678,,MPJ0111
JX544746,,
JX544745,,
JX544744,,
JX544743,,
JQ898337,,AstV-Casa
EU143851,,
EU143850,,
EU143849,,
EU143848,,
EU143847,,
EU143846,,
EU143845,,
EU143844,,
EU143843,,
AF206663,,
JF803961,,E58M2/Mor/09
JF803960,,EU53M2/Mor/09
JQ081297,,
JQ260764,,LVCA-1959-BRA
JQ260763,,LVCA-486-BRA
JQ260762,,LVCA-473-BRA
JQ260761,,LVCA-461-BRA
JQ260760,,LVCA-252-BRA
JQ260759,,LVCA-251-BRA
FJ227123,,WD0227
FJ227122,,WD0104
EF535793,,PAHST289/BR/1999
EF535792,,PAHST235/BR/1999
EF535791,,PAHST216/BR/1999
EF535790,,PAHST209/BR/1999
EF535789,,PAHST195/BR/1999
EF535788,,PAHST183/BR/1999
EF535787,,PAHST175/BR/1999
EF535786,,PAHST169/BR/1999
EF535785,,PAHST162/BR/1999
EF535784,,PAHST144/BR/1999
EF535783,,PAHST127/BR/1999
EF535782,,PAHST092/BR/1998
EF535781,,PAHST075/BR/1998
EF535780,,PAHST068/BR/1998
EF535779,,PAHST063/BR/1998
EF535778,,PAHST058/BR/1998
EF535777,,PAHST018/BR/1998
EF535776,,PAHSP330/BR/2000
EF535775,,PAHSP277/BR/1999
EF535774,,PAHSP250/BR/1999
EF535773,,PAHSP200/BR/1999
EF535772,,PAHSP192/BR/1999
EF535771,,PAHSP169/BR/1999
EF535770,,PAHSP116/BR/1998
EF535769,,PAHSP111/BR/1998
EF535768,,PAHSP062/BR/1998
EF535767,,PAHSP047/BR/1998
EF535766,,PAHSP008/BR/1998
EF535765,,PANSC493/BR/1994
EF535764,,PANSC491/BR/1994
EF535763,,PANSC482/BR/1994
EF535762,,PANSC401/BR/1994
EF535761,,PANSC337/BR/1994
EF535760,,PANSC309/BR/1994
EF535759,,PANSC304/BR/1993
EF535758,,PANSC302/BR/1993
EF535757,,PANSC301/BR/1993
EF535756,,PANSC299/BR/1993
EF535755,,PANSC297/BR/1993
EF535754,,PANSC291/BR/1993
EF535753,,PANSC290/BR/1993
EF535752,,PANSC283/BR/1993
EF535751,,PANSC281/BR/1993
EF535750,,PANSC275/BR/1993
EF535749,,PANSC257/BR/1993
EF535748,,PANSC250/BR/1993
EF535747,,PANSC238/BR/1993
EF535746,,PANSC230/BR/1993
EF535745,,PANSC229/BR/1993
EF535744,,PANSC162/BR/1993
EF535743,,PANSC132/BR/1993
EF535742,,PANSC074/BR/1993
EF535741,,PANSC039/BR/1993
EF535740,,PALONG24233-28/BR/1984
EF535739,,PALONG24182-23/BR/1983
EF535738,,PALONG24080-20/BR/1983
EF535737,,PALONG24072-21/BR/1983
EF535736,,PACRE16-68/BR/1993
EF535735,,PACRE15-67/BR/1993
EF535734,,PACRE14-66/BR/1993
EF535733,,PACRE08/BR/1993
EF547371,,AC10BR/2005
DQ917407,,PA-COD211-BR
DQ917406,,PA-COD381-BR
DQ917405,,PA-COD152-BR
DQ917404,,PA-COD208-BR
DQ917403,,PA-COD268-BR
DQ917402,,PA-COD255-BR
DQ917401,,PA-COD528-BR
DQ917400,,PA-COD462-BR
DQ917399,,PA-COD087-BR
DQ917398,,PA-COD007-BR
DQ917397,,PA-COD221-BR
DQ917396,,PA-COD325-BR
DQ917395,,PA-COD326-BR
DQ917394,,PA-COD328-BR
DQ917393,,PA-COD329-BR
DQ917392,,PA-COD523-BR
DQ917391,,PA-COD382-BR
DQ917390,,PA-COD379-BR
DQ917389,,PA-COD023-BR
DQ917388,,PA-COD302-BR
DQ917387,,PA-COD195-BR
DQ917386,,PA-COD009-BR
DQ917385,,PA-COD475-BR
DQ917384,,PA-COD045-BR
DQ917383,,PA-COD155-BR
DQ917382,,PA-COD409-BR
DQ917381,,PA-COD029-BR
DQ917380,,PA-COD529-BR
DQ917379,,PA-COD383-BR
DQ917378,,PA-COD090-BR
DQ917377,,PA-COD249-BR
DQ917376,,PA-COD517-BR
DQ917375,,PA-COD184-BR
DQ381360,,6363/3/03
DQ381359,,3911/04
DQ381358,,3911/04
DQ381357,,3910/04
DQ381356,,3910/04
DQ381355,,1729/04
DQ381354,,1729/04
DQ381353,,1722/9/04
DQ381352,,1722/9/04
DQ381351,,1722/8/04
DQ381350,,1722/8/04
DQ381349,,1722/6/04
DQ381348,,1722/6/04
DQ381347,,1722/5/04
DQ381346,,1722/5/04
DQ381345,,1722/4/04
DQ381344,,1722/4/04
DQ381343,,1722/3/04
DQ381342,,1722/3/04
DQ381341,,1722/2/04
DQ381340,,1722/2/04
DQ381339,,1722/1/04
DQ381338,,1722/1/04
DQ381337,,1649/04
DQ381336,,1649/04
DQ381335,,1586/04
DQ381334,,1586/04
DQ381333,,1297/02
DQ381332,,1297/02
DQ381331,,1232/00
DQ381330,,1232/00
DQ381329,,1229/04
DQ381328,,1229/04
DQ381327,,1182/02
DQ381326,,1182/02
DQ381325,,1047/04
DQ381324,,1047/04
DQ381323,,1011/04
DQ381322,,1011/04
DQ381321,,940/04
DQ381320,,940/04
DQ381319,,687/04
DQ381318,,687/04
DQ381317,,677/02
DQ381316,,677/02
DQ381315,,572/04
DQ381314,,572/04
DQ381313,,532/04
DQ381312,,532/04
DQ381311,,488/04
DQ381310,,488/04
DQ381309,,454/RS/05
DQ381308,,454/RS/05
DQ381307,,407/04
DQ381306,,407/04
DQ381305,,404/04
DQ381304,,404/04
DQ381303,,391/RS/05
DQ381302,,391/RS/05
DQ381301,,335/RS/05
DQ381300,,335/RS/05
DQ381299,,334/RS/05
DQ381298,,334/RS/05
DQ381297,,333/RS/05
DQ381296,,333/RS/05
DQ381295,,332/RS/05
DQ381294,,332/RS/05
DQ381293,,280/RS/05
DQ381292,,280/RS/05
DQ381291,,247/RS/05
DQ381290,,247/RS/05
DQ381289,,181/RS/05
DQ381288,,181/RS/05
DQ381287,,158/04
DQ381286,,158/04
DQ381285,,100/04
DQ381284,,100/04
DQ381283,,32/01
DQ381282,,32/01
DQ322271,,MG043/BR/2004
DQ322270,,MG040/BR/2004
DQ322269,,MG036/BR/2004
DQ322268,,MG027/BR/2004
DQ322267,,MG026/BR/2004
DQ322266,,MG024/BR/2004
DQ322265,,MG023/BR/2004
DQ322264,,MG018/BR/2004
DQ322263,,MG015/BR/2004
DQ322262,,MG014/BR/2004
DQ322261,,MG010/BR/2004
DQ322260,,MG007/BR/2004
DQ322259,,MG006/BR/2004
DQ322258,,MG005/BR/2004
DQ322257,,MG004/BR/2004
DQ322256,,MG003/BR/2004
DQ322255,,MG001/BR/2004
DQ071656,,MA191/BR/99
DQ071655,,MA177/BR/99
DQ071654,,MA170/BR/99
DQ071653,,MA169/BR/99
DQ071652,,MA167/BR/99
DQ071651,,MA166/BR/99
DQ071650,,MA124/BR/98
DQ071649,,MA027BR/97
DQ071648,,MA021/BR/97
AF292077,,
AF292076,,
AF292075,,
AF292074,,
AF257226,,M358
HAU49220,,MAV5
HAU49219,,RCH4B
HAU49218,,RCH4A
HAU49217,,RCH1B
HAU49216,,RCH1A
HAU49215,,RCH1F
HAU49214,,RCH1E
HAU49213,,RCH1D
HAU49212,,RCH1C
ATV38508,,
ATV38507,,
ATV38506,,
ATV38505,,
ATVPOLY5A,,Oxford
ATVPOLY3A,,Oxford
ATVPOLY2A,,Oxford
HUAIMMREAB,,
HUAIMMREAA,,
HUA3TERMS,,
JA764521,,
JA764520,,
JA764519,,
JA764518,,
JA764517,,
JA764516,,
JA764511,,
JA764509,,
JA764507,,
JA764505,,
JA764495,,
JA764493,,
HV511037,,
HQ330505,,ANV-VF08-60
HQ330504,,ANV-VF08-65
HQ330503,,ANV-VF08-39
HQ330502,,ANV-VF08-52
HQ330501,,ANV-VF08-21
HQ330500,,ANV-VF08-22
HQ330499,,ANV-VF08-53
HQ330498,,ANV-VF08-18/16
HQ330497,,ANV-05V0105
HQ330496,,ANV-06V0062
HQ330495,,ANV-VF06-01/4
HQ330494,,ANV-VF06-01/1
HQ330493,,ANV-VF05-1/8
HQ330492,,ANV-VF08-29b
HQ330491,,ANV-VF08-29a
HQ330490,,ANV-VF08-18/5
HQ330489,,ANV-VF08-18/14
HQ330488,,ANV-VF08-3b
HQ330487,,ANV-VF05-1/5
HQ330486,,ANV-Belgian-ELV1
HQ330485,,ANV-EF91-276-Cl3
HQ330484,,ANV-EF91-276-Cl5
HQ330483,,ANV-VF08-3a
HQ330482,,ANV-VF07-13/7
HQ330481,,ANV-VF04-1/2
HQ330506,,CAstV-11672
EF490429,,Madagascar/DT1004/2004
HI137387,,
HI137386,,
GQ174472,,
GQ174471,,
GQ174470,,
GQ174469,,
GQ174468,,
GQ174467,,
GQ174466,,
GQ174465,,
GQ174464,,
GQ174463,,
GQ174462,,
GQ174461,,
GQ174460,,
GQ174459,,
GQ174458,,
GQ174457,,
GQ174456,,
GQ174455,,
GQ174454,,
GQ174453,,
GQ174452,,
GQ174451,,
GQ174450,,
GQ174449,,
GQ174448,,
GQ174447,,
GQ174446,,
GQ174445,,
GQ174444,,
GQ174443,,
GQ174442,,
GQ174441,,
GQ174440,,
GQ174439,,
HAU15136,,Oxford reference strain
ATVCAPSID,,
FW337977,,
FW337976,,
FW337974,,
FV536969,,
FV536968,,
FV536967,,
FV536966,,
AF117209,,
AY304452,,
AY257977,,p23795
ATVPOLY4A,,Oxford
ATVPOLY1A,,Oxford
HC086778,,686
HC086792,,161317
HC086790,,7279
HC086788,,2388
HC086786,,2383
HC086784,,1736
HC086782,,715
HC086780,,714
HC086776,,637
HC086774,,19
HC086772,,19
HC086770,,19
HC086767,,
AY769615,,
FM213332,,
FM213331,,
FM213330,,
GN350554,,
GN350553,,
GN350552,,
GN350551,,
GN350550,,
GN350549,,
GN350548,,
GN350547,,
GN350546,,
GN350545,,
GN352052,,
GN352051,,
GN352050,,
GN352049,,
GN352048,,
GN352047,,
GN352046,,
GN352045,,
GN352044,,
GN352043,,
GN355918,,
GN355917,,
GN355916,,
GN355915,,
GN355914,,
GN355913,,
GN355912,,
GN355911,,
GN355910,,
GN355909,,
GN354838,,
GN354837,,
GN354836,,
GN354835,,
GN354834,,
GN354833,,
GN354832,,
GN354831,,
GN354830,,
GN354829,,
AB496913,,
DL470173,,
AB211059,,I/SD33/2004
DQ630763,,WH1859
EF138831,,
EF138830,,
EF138829,,
EF138828,,
EF138827,,
EF138826,,
EF138825,,
EF138824,,
