ID,Host,Isolate
MT766321,,AstV/CHN/XJ/env/2018/ks8-ctg1
MT766320,,AstV/CHN/XJ/env/2018/ks7-ctg2
MT766334,,AstV/CHN/XJ/env/2018/ht8-ctg5
MT766333,,AstV/CHN/XJ/env/2018/ks11-ctg5
MT766332,,AstV/CHN/XJ/env/2018/ks4-ctg3
MT766323,,AstV/CHN/XJ/env/2018/ht3-ctg1
MT766322,,AstV/CHN/XJ/env/2018/ks11-ctg1
MT766319,,AstV/CHN/XJ/env/2018/ks4-ctg1
MT766318,,AstV/CHN/XJ/env/2018/MD-ctg1
OM954093,,CMU2_DN77510_c0_g2_i1
OM954095,,CMF1_DN41228_c0_g1_i2
OM954094,,CMP2_DN37632_c0_g1_i1
OM954092,,CMU2_DN77080_c0_g1_i1
OM954091,,CMP2_DN36588_c0_g1_i1
OM954090,,CMU2_DN58784_c0_g1_i1
OM954089,,CMU2_DN67289_c0_g1_i1
OM954088,,CMP1_DN124681_c0_g1_i1
OM954087,,CMF2_DN25942_c0_g1_i1
OM954086,,CMU2_DN80756_c0_g2_i1
OM954085,,CMU2_DN78016_c1_g3_i1
OM954084,,CMF1_DN35241_c0_g1_i1
OM954083,,CMU2_DN76042_c0_g1_i2
OM954082,,CMU2_DN72442_c0_g1_i1
OM954081,,CMU2_DN76774_c0_g2_i1
OM953854,,CMU2_DN78195_c0_g1_i1
OM953853,,CMF2_DN28976_c0_g1_i1
OM953852,,CMF2_DN29505_c0_g1_i2
OM953851,,CMF2_DN25939_c0_g1_i1
OM953850,,CMU1_DN176158_c0_g1_i1
OM953849,,CMF2_DN31075_c0_g1_i1
OM953848,,CMF1_DN41184_c0_g1_i1
OM953847,,CMF1_DN41866_c1_g1_i1
OM953846,,CMF2_DN30973_c0_g1_i4
OM953845,,CMP1_DN122563_c0_g1_i1
OM953844,,CMU2_DN71707_c0_g1_i1
OM953843,,CMF1_DN41679_c0_g1_i1
OM953842,,CMU2_DN75963_c0_g1_i1
OM953841,,CMU2_DN78443_c0_g1_i1
OM339161,,21V816605
