Host,Isolate_x,class
Meleagris gallopavo domesticus,101T ECU UDLA; 113T ECU UDLA; 133T ECU UDLA; 166T ECU UDLA; 16T ECU UDLA; 191T ECU UDLA; 196T ECU UDLA; 200T ECU UDLA; 21T ECU UDLA; 23T ECU UDLA; 25T ECU UDLA; 26T ECU UDLA; 28T ECU UDLA; 2T ECU UDLA; 31T ECU UDLA; 33T ECU UDLA; 39T ECU UDLA; 3T ECU UDLA; 52T ECU UDLA; 72T ECU UDLA; 74T ECU UDLA; 78T ECU UDLA,
Microgale brevicaudata,LJR111,
Miniopterus fraterculus,TZ32383var1; TZ32383var2,
Miniopterus gleni,SMG17367; SMG17368; SMG17373; SMG17838; SMG17842; SMG17843; SMG17844; SMG17845,
Miniopterus griveaudi,,
Miniopterus mahafaliensis,SMG17329; SMG17344; SMG17349,
Miniopterus manavi,SMG17866; SMG17867; SMG17869; SMG17871; SMG17872; SMG17874; SMG17883; SMG17884,
Miniopterus schreibersii,232738(Guangdong); 232759(Guangdong); 232764(Guangdong); 232767(Guangdong); 232782(Guangdong),
Miniopterus sororculus,SMG17364; SMG17366; SMG17377,
Mops leucostigma,AMB-A096; AMB-A101,
Mus musculus,JPH249; JPH267; JPH271; JPH274; JPH275; JPH349; SJ001; SJ002,
Myotis goudoti,,
Myotis ricketti,230091(Guangxi); 230092(Guangxi); 232741(Guangdong); 232770(Guangdong); 232783(Guangdong); 234438(Anhui),
Nyctalus plancyi,235098(Zhejiang); 235111(Zhejiang),
Paratriaenops furculus,,
Pipistrellus nathusii,1(3)/2014/CZE,
Podarcis siculus,RI170; RI172; RI62; RI66,
Rattus rattus,JPH254; JPH263; JPH272; JPH289; JPH331; JPH340; JPH342; JPH355; JPH357; JPH358; JPH368; LJR093; LJR115; LJR139,
Rhinolophus pusillus,234944(Zhejiang),
Rhinolophus thomasi,H128; H17; H27; H30; H57; H64; H83,
Rousettus madagascariensis,,
Roussetus leschenaulti,G128; G164; G53; G60; G71; G84,
Scotophilus dinganii,TZ32357,
Scotophilus kuhlii,232416(Guangdong); 232422(Guangdong); 232423(Guangdong); 232424(Guangdong); 232426(Guangdong); 232436(Guangdong); 232438(Guangdong); 232439(Guangdong); 232440(Guangdong); 232444(Guangdong); 232447(Guangdong); 232449(Guangdong); 232451(Guangdong); 232611(Guangdong); 232627(Guangdong); 232630(Guangdong); 232632(Guangdong); 232633(Guangdong); 232634(Guangdong),
Taphozous melanopogon,230776(Guangxi); 230777(Guangxi); 230780(Guangxi); 230781(Guangxi); 230782(Guangxi); 230783(Guangxi); 230784(Guangxi); 230785(Guangxi); 230786(Guangxi); 230787(Guangxi); 230788(Guangxi); 230791(Guangxi); 230792(Guangxi); 230793(Guangxi); 230794(Guangxi); 230795(Guangxi); 230797(Guangxi); 231009(Guangxi); 231010(Guangxi); 231011(Guangxi); 231014(Guangxi); 231015(Guangxi),
Tarentola mauritanica,RI111; RI112,
Triaenops menamena,SMG17410; SMG17411; SMG17412; SMG17457; SMG17462,
Tylonycteris robustula,230911(Guangxi),
bird,XZN01; YSN01; YSN02,
chicken (broiler),Contig-1; Contig-10; Contig-11; Contig-12; Contig-13; Contig-2; Contig-3; Contig-5; Contig-6; Contig-7; Contig-8; Contig-9,
commercial broiler,ANV/1043/2014/HR(India)/Chicken; ANV/1059/2011/HR(India)/Chicken; ANV/1065/2014/HR(India)/Chicken; ANV/1102/2012/HR(India)/Chicken; ANV/1105/2012/HR(India)/Chicken; ANV/1301/2015/HR(India)/Chicken; ANV/22392/2014/HR(India)/Chicken; ANV/22766/2014/HR(India)/Chicken; ANV/22999/2014/HR(India)/Chicken; CAstV/1089/2014/HR(India)/Chicken; CAstV/1105/2014/HR(India)/Chicken; CAstV/1125/2014/HR(India)/Chicken; CAstV/1194/2012/HR(India)/Chicken; CAstV/22159/2014/HR(India)/Chicken; CAstV/22330/2014/HR(India)/Chicken; CAstV/22374/2014/HR(India)/Chicken; CAstV/22397/2014/HR(India)/Chicken; CAstV/23324/2014/HR(India)/Chicken; CAstV/23724/2014/HR(India)/Chicken; CAstV/23893/2014/HR(India)/Chicken; CAstV/28828/2014/HR(India)/Chicken,
domestic cat,,
duck,VSVRI.CLEVB.22,
environment,G20_105; G20_106; G20_107; G20_108; G20_109; G22-001; G22-002; G22-003; G22-004; G22-005; G22-006; G22-007; G22-008; G22-009; G22-010; G22-011; G22-012; G22-013; G22-014,
goat,Ferri_01_N_ORF2_ASTV_GOAT_MILK_O; Ferri_02_N_ORF2_ASTV_GOAT_MILK_BG1; Ferri_03_N_ORF2_ASTV_GOAT_MILK_BG2; Ferri_04_N_ORF2_ASTV_GOAT_MILK_BG3; Ferri_05_N_ORF2_GOAT_MILK_BG4; Ferri_07B_N_ASTV_GOAT_MILK_PR2; Ferri_07_N_ORF2_ASTV_GOAT_MILK_PR1; Ferri_08_N_ORF2_ASTV_GOAT_MILK_PR3,
turkey,TAstV-2/BR/07,
