Host;Isolate;class
Miniopterus gleni;"SMG17367; SMG17368; SMG17373; SMG17838; SMG17842; SMG17843; SMG17844; SMG17845";Mammalia
Miniopterus griveaudi;;Mammalia
Miniopterus mahafaliensis;"SMG17329; SMG17344; SMG17349";Mammalia
Miniopterus manavi;"SMG17866; SMG17867; SMG17869; SMG17871; SMG17872; SMG17874; SMG17883; SMG17884";Mammalia
Miniopterus schreibersii;"232738(Guangdong); 232759(Guangdong); 232764(Guangdong); 232767(Guangdong); 232782(Guangdong)";Mammalia
Miniopterus sororculus;"SMG17364; SMG17366; SMG17377";Mammalia
Miniopterus sp. (bat);"CHI-1303; CHI-1320; CHI-1449; CHI-1717; CHI-1726; MAG-197; MAG-580";Mammalia
Mops leucostigma;"AMB-A096; AMB-A101";Mammalia
Mormopterus francoismoutoui (Reunion Free-tailed Bat);"160887; 160901; 161114; 161123; 161181; 170112; 170114; 170171; 170173; 170176; 170177; 170178; 170179; 170180; 170422; 171156; 171243; 171249; 180017; 180019; 180243; 180315; 180323; 180324; 180393; 180477; 180482";Mammalia
Mus musculus;"JPH249; JPH267; JPH271; JPH274; JPH275; JPH349; SJ001; SJ002";Mammalia
Myotis goudoti;;Mammalia
Myotis ricketti;"230091(Guangxi); 230092(Guangxi); 232741(Guangdong); 232770(Guangdong); 232783(Guangdong); 234438(Anhui)";Mammalia
Nyctalus plancyi;"235098(Zhejiang); 235111(Zhejiang)";Mammalia
Nyctaus noctula;Bat_AstV-81_1-2018_POL;Mammalia
Nyctereutes procyonoides(racoon dog);"AstV/Raccoon_dog/Kodo2023-51/2023/JPN; BastV/Raccoon_dog/Kodo-31/2023/JPN; BastV/Raccoon_dog/Kodo-8/2023/JPN; BastV/Raccoon_dog/Kodo2023-52/2023/JPN";Mammalia
Nycteris sp. (bat);"CHI-1207; CHI-1224";Mammalia
Oryctes sp.;Or_elegans1_agamemnon2;Insecta
Paratriaenops furculus;;Mammalia
Pekin duckling;;Aves
Peking duckling;Du/Egy/Gharbia/2021/DAstVs;Aves
Pheasant;BZ3;Aves
Pipistrellus nathusii;1(3)/2014/CZE;Mammalia
Podarcis siculus;"RI170; RI172; RI62; RI66";Mammalia
Porcine;AH-1;Mammalia
Porcupine;AH-F1;Mammalia
Praomys sp.;Astrovirus_PREDICT MAstV-87/AAQNV;Mammalia
Rattus rattus;"JPH254; JPH263; JPH272; JPH289; JPH331; JPH340; JPH342; JPH355; JPH357; JPH358; JPH368; LJR093; LJR115; LJR139";Mammalia
