Unnamed: 0,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,class
PX378133,PX378133.1,"Human astrovirus 2 isolate CMH-ST098-24/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",,CMH-ST098-24/THA,Thailand,,02-Sep-2024,stool,Homo sapiens,No,2,No,No,Mammalia
PX378132,PX378132.1,"Human astrovirus 1 isolate CMH-ST011-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,676,"Kumthip,K., Khamrin,P. and Maneekarn,N.",,CMH-ST011-23/THA,Thailand,,03-Feb-2023,stool,Homo sapiens,No,2,No,No,Mammalia
PX378131,PX378131.1,"Human astrovirus 1 isolate CMH-SS027-23/THA RNA-dependent RNA polymerase and capsid protein genes, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,649,"Kumthip,K., Khamrin,P. and Maneekarn,N.",,CMH-SS027-23/THA,Thailand,,21-Feb-2023,stool,Homo sapiens,No,2,No,No,Mammalia
PV211181,PV211181.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33693/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,420,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33693/2022/HAstV-1,Brazil,,18-Mar-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PV211180,PV211180.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33682/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,420,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33682/2022/HAstV-1,Brazil,,25-Mar-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PV211179,PV211179.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33664/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,424,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33664/2022/HAstV-1,Brazil,,31-Mar-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PV211178,PV211178.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33659/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,442,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33659/2022/HAstV-1,Brazil,,31-Mar-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PV211177,PV211177.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33633/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,423,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33633/2022/HAstV-1,Brazil,,21-Mar-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PV211176,PV211176.1,"Human astrovirus 1 isolate Human/BRAZIL/LVCA33601/2022/HAstV-1 capsid protein gene, partial cds",30-SEP-2025,Human astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus hominis,Mamastrovirus hominis,Astroviridae,422,"Burlandy,F.M. and Santos,I.",,Human/BRAZIL/LVCA33601/2022/HAstV-1,Brazil,,24-Feb-2022,stool,Homo sapiens,No,1,No,No,Mammalia
PX236818,PX236818.1,"Possum astrovirus isolate M23 ORF1a protein, ORF1b protein, and ORF2 protein genes, complete cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6363,"French,R.K.",,M23,New Zealand,,2021,kidney/liver,Trichosurus vulpecula,No,3,No,No,Mammalia
