ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix,coords,strand
OR800315_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OR800315,405-1,-
OR800315_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OR800315,405-1,-
PQ110289_11,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,910-725,-
PQ110289_11,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,910-725,-
PQ110289_11,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,910-725,-
PP512783_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,2544-2359,-
PP512783_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,2544-2359,-
PP512783_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,2544-2359,-
PP512783_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,2544-2359,-
PP512783_7,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PP512783,2957-3196,+
PP512783_7,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,PP512783,2957-3196,+
PP512783_7,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP512783,2957-3196,+
OP474168_3,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,1905-2060,+
PP512783_34,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,2233-2084,-
PP512783_34,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,2233-2084,-
PP512783_34,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,2233-2084,-
MN036159_3,-,consensus disorder prediction,MobiDBLite,-,-,MN036159,419-607,+
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,1613-1783,+
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1613-1783,+
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1613-1783,+
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,1613-1783,+
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,1613-1783,+
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,1613-1783,+
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,1613-1783,+
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,16-360,+
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,16-360,+
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,16-360,+
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,16-360,+
PQ110289_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,294-118,-
PQ110289_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,294-118,-
PQ110289_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,294-118,-
PQ110289_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,294-118,-
OP474168_2,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,298-513,+
OP474168_2,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,298-513,+
PP512783_42,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,744-460,-
OP474168_12,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168,714-337,-
OP474168_12,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168,714-337,-
OP474168_12,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168,714-337,-
OP474168_12,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168,714-337,-
PQ110289_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289,388-188,-
PQ110289_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,388-188,-
PQ110289_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,388-188,-
PQ110289_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289,388-188,-
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159,1743-1447,-
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,1743-1447,-
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,1743-1447,-
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159,1743-1447,-
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159,1743-1447,-
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159,1743-1447,-
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159,1743-1447,-
PP512783_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,1397-1209,-
PP512783_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1397-1209,-
PP512783_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1397-1209,-
PP512783_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1397-1209,-
PP512783_10,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PP512783,3651-4274,+
PP512783_10,Viral coat protein subunit,-,Gene3D,-,-,PP512783,3651-4274,+
PQ110289_5,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ110289,832-2226,+
PQ110289_5,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ110289,832-2226,+
PQ110289_9,-,consensus disorder prediction,MobiDBLite,-,-,PQ110289,1295-981,-
OP474168_4,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,OP474168,146-2197,+
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,146-2197,+
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,146-2197,+
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168,146-2197,+
OP474168_4,-,Capsid polyprotein VP90,FunFam,-,-,OP474168,146-2197,+
OP474168_4,Viral coat protein subunit,-,Gene3D,-,-,OP474168,146-2197,+
PP512783_31,-,SignalP-noTM,SignalP_EUK,-,-,PP512783,2623-2447,-
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1-1008,+
PP512783_3,-,Coil,Coils,-,-,PP512783,1-1008,+
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1-1008,+
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,Coil,Coils,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1-1008,+
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1-1008,+
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1-1008,+
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,1871-2188,+
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1871-2188,+
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1871-2188,+
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289,1871-2188,+
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289,1871-2188,+
